max_depth_CPT,A07-P,A07-H,R09,Mc15,Mc18
15,-0.464711005,-0.268019622,-0.440897736,-0.015660736,-0.681238547
15,0.045902157,0.242556628,0.067533976,0.480874977,-0.287554318
16,-0.316261523,-0.119586039,-0.296450889,0.088974857,-0.694362605
16,0.171421261,0.368102827,0.79721654,0.523460778,-0.367177491
17,-0.48296287,-0.286240501,-0.521589489,-0.075329107,-0.878846777
17,-0.335063933,-0.138366676,-0.301989212,0.081936719,-0.645645224
17,0.072187152,0.268917414,0.036217324,0.499091703,-0.291586532
17,-0.006271978,0.190405614,-0.004342702,0.425002857,-0.28671183
17,0.130148549,0.326826662,0.125454076,0.531524535,-0.295519266
18,-0.660511667,-0.463799136,-0.728362087,-0.292523975,-1.012505611
18,-0.387924014,-0.191183862,-0.361808118,0.008601195,-0.780006075
18,0.174759167,0.37151848,0.155195522,0.600561753,-0.224584993
18,0.514035438,0.710808323,0.554177881,0.915161366,0.142240258
18,0.585040599,0.781755069,0.683828441,1.008236153,0.240214118
19,-0.220699012,-0.02396646,-0.172660421,0.121780483,-0.750664582
19,-0.215940752,-0.019203068,-0.14161954,0.138289335,-0.701438876
19,0.064026256,0.26073381,0.026540423,0.478673002,-0.341921979
19,-0.039053596,0.157632476,0.134283374,0.359541017,-0.319852704
19,-0.014626441,0.182073638,0.068271081,0.398716995,-0.338248539
19,0.126300741,0.323047028,0.225426136,0.542873461,-0.171432573
20,-0.486438067,-0.289685587,-0.313612035,-0.214691309,-1.173136622
20,-0.404695218,-0.207969801,-0.426274369,-0.06306186,-0.80222833
20,-0.488746892,-0.292008922,-0.480895839,-0.079135709,-0.79867446
20,-0.26191662,-0.065163592,-0.115399357,0.089840562,-0.670906505
20,-0.354237156,-0.157554218,-0.304015738,0.033597156,-0.685774226
20,-0.392736657,-0.195998112,-0.321024972,0.014609919,-0.693937355
20,-0.364613045,-0.167886408,-0.267953524,0.026114366,-0.693924904
20,-0.382349807,-0.185617453,-0.332756774,0.020075785,-0.710438678
20,-0.393849034,-0.197136804,-0.335283647,0.013955569,-0.696145387
20,-0.490926998,-0.294240738,-0.457319499,-0.097822987,-0.709305205
20,-0.395708512,-0.199011421,-0.343298076,0.014867025,-0.668453762
20,-0.469834609,-0.273122565,-0.425732197,-0.057483854,-0.701354459
20,-0.316579916,-0.119901444,-0.207297927,0.084389367,-0.662289192
20,-0.386714297,-0.189983796,-0.360994498,0.037450916,-0.64322128
20,-0.44708984,-0.250351303,-0.378413517,-0.030076127,-0.65480801
20,-0.353469813,-0.156774101,-0.348088936,0.059528208,-0.610900554
20,-0.297134857,-0.100413094,-0.235528812,0.064716062,-0.604504469
20,-0.382737309,-0.18600426,-0.359810519,0.049430865,-0.625439534
20,-0.341309308,-0.144569242,-0.289988454,0.074561384,-0.581172972
20,-0.39965922,-0.202972015,-0.362721007,0.033244377,-0.60894496
20,-0.440943554,-0.244252075,-0.372512102,-0.0128646,-0.634127472
20,0.113193897,0.309848618,0.172822302,0.463999298,-0.37995867
20,-0.030331766,0.166378529,0.118282528,0.35476238,-0.330022004
20,-0.036041673,0.160656275,0.123724999,0.352157359,-0.307213374
19,-0.160089995,0.03665435,-0.114035051,0.249402006,-0.388520236
19,-0.107710693,0.089007161,-0.012509184,0.300954627,-0.360256033
17,-0.200129266,-0.003431032,-0.196715481,0.25927098,-0.410711592
19,-0.135337228,0.061406613,-0.081315127,0.272913482,-0.353685544
20,0.196128628,0.392872864,0.246852745,0.579753027,-0.245154339
20,0.318159029,0.514876034,0.262573883,0.771114791,-0.047616733
20,0.4464501,0.643114606,0.523178557,0.865561633,0.110259183
19,-0.110953317,0.085768265,0.008107037,0.314816058,-0.368680144
20,0.051116582,0.247851372,0.062137396,0.445250485,-0.354024103
21,0.288591577,0.485271101,0.351439754,0.664765888,-0.1647116
22,0.226913104,0.423627836,0.306721924,0.614823695,-0.181541645
23,-0.086187217,0.110477328,0.04667868,0.28562691,-0.459178688
23,0.103405458,0.300138166,0.12705188,0.533250352,-0.249999353
23,0.120000376,0.316758051,0.226335773,0.492041448,-0.305313823
23,0.44257348,0.639251412,0.615357485,0.833055564,0.107311502
23,0.314265695,0.511005423,0.442807053,0.717487031,-0.038833412
24,-0.025046412,0.171631984,0.234491957,0.315469205,-0.371656198
24,-0.002654775,0.194076269,0.278280573,0.316209985,-0.370020552
24,0.002208644,0.198961665,0.186832377,0.362216292,-0.309756097
